mx,my,mz
-1366,3914,8484
-1372,3949,8521
-1162,4240,8606
-1169,4141,8593
-1169,4141,8593
-1237,4100,8574
-1325,4029,8549
-1312,3934,8573
-1327,3846,8571
-1327,3776,8575
-1337,3776,8575
-1351,3715,8599
-1358,3626,8617
-1349,3576,8589
-1401,3564,8572
-1359,3454,8581
-1395,3332,8610
-1393,3283,8643
-1425,3179,8594
-1416,3031,8598
-1397,2934,8609
-1397,2934,8609
-1336,3372,8685
-1321,3411,8645
-1311,3444,8657
-1314,3460,8685
-1322,3452,8670
-1312,3483,8666
-1315,3562,8678
-1288,3632,8631
-1322,3554,8608
-1475,3488,8489
-1722,3333,8155
-2046,3248,7395
-1972,3257,7542
-1954,3255,7619
-1942,3355,7691
-1907,3475,7737
-2109,3682,6858
-2109,3682,6683
-2114,3591,6683
-2198,3492,6468
-2150,3496,6255
-2087,3514,5680
-2087,3514,5680
-1982,3398,5338
-1873,3219,5091
-1919,2274,5518
-1939,2180,5727
-1939,2180,5727
-2025,2099,5985
-2026,2071,6158
-2026,2071,6158
-2021,2026,6361
-2033,2030,6534
-2033,2030,6534
-2023,2019,6655
-1978,1990,6747
-1978,1990,6747
-1969,2020,6939
-1980,2100,7102
-1862,2233,7645
-1782,2336,7868
-1640,2333,8019
-1631,2342,8034
-1791,2405,7856
-1791,2405,7856
-1880,2413,7546
-2003,2569,7357
-2096,2587,7132
-2096,2587,7132
-2164,2803,6857
-2214,2975,6594
-2240,3163,6359
-2240,3163,6359
-2233,3250,6176
-2249,3403,6147
-2207,3627,6157
-2138,3806,6207
-2138,3806,6207
-2135,3895,6211
-2141,3873,6213
-2241,3172,6222
-2251,3024,6290
-2220,2863,6314
-2201,2732,6419
-2193,2650,6453
-2198,2560,6526
-2174,2496,6586
-2183,2482,6648
-2029,2234,6989
-2027,2223,7065
-1984,2207,7148
-1970,2215,7188
2332,2613,9819
2374,2634,9806
2397,2655,9824
2591,2432,9721
2735,2330,9596
2800,3182,9590
3083,3663,9468
3083,3663,9468
3141,3761,9324
3206,3761,9355
3258,3816,9336
3339,3843,9215
3339,3843,9215
3381,3861,9163
3469,3930,9100
3600,3915,9033
3704,3899,8973
3754,3877,8904
3869,3895,8849
3583,4102,9012
3439,4129,9085
3289,4161,9113
3224,4152,9230
3114,4132,9290
3016,4108,9285
2969,4060,9369
2969,4060,9369
2897,4005,9414
2769,3924,9467
2740,3827,9534
2698,3712,9632
2609,3633,9696
2558,3543,9656
2494,3470,9690
2494,3470,9690
2509,3380,9721
2487,3321,9749
2442,3219,9761
2404,3099,9766
2406,3028,9791
2364,2975,9808
2350,2843,9856
2350,2843,9856
2391,2689,9774
2391,2743,9757
2400,2743,9757
2499,3379,9715
2547,3464,9735
2581,3568,9710
2875,3804,9464
4342,3392,8483
4341,3330,8468
4392,3270,8467
4365,3222,8467
4386,3179,8433
4366,3159,8508
4266,3125,8617
4082,3335,8770
4380,3317,8407
4426,3333,8284
4447,3441,8278
419,4420,9479
291,4464,9362
267,4437,9367
411,4381,9438
379,4468,9388
301,4538,9319
254,4538,9297
207,4617,9302
168,4593,9196
84,4649,9169
26,4658,9100
-73,4669,9042
-138,4695,9052
-253,4720,8967
-322,4696,8975
-352,4702,8941
-352,4702,8928
-373,4672,8928
-430,4668,8864
-368,4630,8913
-386,4638,8911
-411,4622,8896
-428,4650,8847
-603,4659,8742
-799,4624,8578
-1886,4428,6734
-438,3922,9229
339,3648,9642
339,3648,9642
582,3774,9638
675,3854,9648
666,3932,9686
666,3932,9686
710,3939,9654
746,3999,9623
722,4051,9611
815,4093,9671
893,4098,9631
1148,4052,9702
1372,3996,9702
1496,3947,9749
1646,3894,9741
1646,3894,9741
1758,3871,9737
1840,3819,9759
1927,3823,9732
1985,3772,9734
2007,3767,9752
1784,3899,9729
983,4046,9642
915,4007,9673
875,3988,9650
726,3975,9588
514,3890,9572
274,3942,9530
55,3827,9472
55,3827,9472
1121,3818,9773
556,4058,9614
202,4014,9462
202,3960,9406
